on_cpu,new_cpu,old_cpu,pid,jiffies
16,17,14,1913,4298926305
1,10,1,2551795,4298926306
1,2,10,2551786,4298926306
9,16,9,2551800,4298926306
9,18,9,2551802,4298926306
12,17,12,2551801,4298926306
12,19,12,2551803,4298926306
2,3,2,2551786,4298926306
9,20,9,2551804,4298926306
9,22,9,2551806,4298926306
9,24,9,2551808,4298926306
9,26,9,2551810,4298926306
9,28,9,2551812,4298926306
9,30,9,2551814,4298926306
9,2,9,2551816,4298926306
9,11,9,2551818,4298926306
9,15,9,2551820,4298926306
9,0,9,2551821,4298926306
12,21,12,2551805,4298926306
12,23,12,2551807,4298926306
12,25,12,2551809,4298926306
12,27,12,2551811,4298926306
12,29,12,2551813,4298926306
12,31,12,2551815,4298926306
12,13,12,2551817,4298926306
1,8,12,16,4298926307
9,3,9,2551822,4298926306
9,4,9,2551823,4298926307
9,6,9,2551824,4298926307
9,8,9,2551825,4298926307
14,24,14,2551862,4298926331
8,15,8,2551864,4298926331
13,15,13,2551865,4298926331
20,25,20,2551867,4298926331
21,13,21,2551870,4298926332
15,8,15,2551865,4298926332
21,21,2,2551866,4298926332
24,17,24,2551862,4298926332
25,17,25,2551867,4298926332
17,12,17,2551862,4298926333
1,4,1,2551877,4298926335
1,1,3,2551786,4298926335
3,4,3,2551878,4298926335
3,3,5,2551875,4298926335
4,1,4,2551882,4298926336
4,4,1,2551786,4298926336
20,20,17,1913,4298926337
20,20,4,2551786,4298926337
8,0,8,2551889,4298926338
8,8,20,2551786,4298926338
8,17,8,2551891,4298926338
0,0,20,1913,4298926339
0,0,8,2551786,4298926339
17,17,0,1913,4298926339
25,14,25,2551899,4298926340
25,25,0,2551786,4298926340
2,2,17,1913,4298926340
8,25,8,2551896,4298926340
24,24,2,1913,4298926340
8,9,8,2551900,4298926341
20,20,0,2551863,4298926341
20,20,25,2551786,4298926341
2,2,25,2551893,4298926342
14,20,14,2551899,4298926341
24,24,25,2551896,4298926342
22,14,22,2551907,4298926344
22,22,20,2551786,4298926344
30,14,30,2551909,4298926344
0,2,0,2551915,4298926345
0,0,20,2551863,4298926346
8,8,9,2551827,4298926346
18,7,18,2551914,4298926345
18,18,8,16,4298926347
25,5,25,2551916,4298926346
31,7,31,2551913,4298926345
24,24,7,2551914,4298926347
24,24,7,2551913,4298926347
7,7,8,2551865,4298926348
0,2,0,2551918,4298926348
14,19,14,2551919,4298926348
2,2,24,1913,4298926349
25,25,0,2551863,4298926350
26,13,26,2551925,4298926350
27,1,27,2551926,4298926350
4,5,4,2551928,4298926351
18,29,18,2551929,4298926351
25,1,25,2551932,4298926352
25,25,22,2551786,4298926352
30,2,30,2551936,4298926352
9,9,2,1913,4298926352
9,9,29,2551929,4298926352
13,13,9,1913,4298926352
29,14,29,2551933,4298926352
0,0,7,2551865,4298926353
1,1,14,2551935,4298926353
25,5,25,2551942,4298926353
22,13,22,2551939,4298926354
14,14,13,1913,4298926354
26,26,18,16,4298926355
15,15,25,2551863,4298926356
5,29,5,2551949,4298926356
12,12,6,952,4298926356
30,14,30,2551951,4298926357
30,30,25,2551786,4298926357
0,0,14,1913,4298926357
25,25,0,2551865,4298926358
1,1,0,1913,4298926358
5,5,1,1913,4298926358
13,25,13,2551957,4298926359
13,13,30,2551786,4298926359
15,4,15,2551959,4298926360
15,15,13,2551786,4298926360
13,22,13,2551962,4298926361
13,13,15,2551786,4298926361
11,11,10,2551829,4298926362
13,13,12,2551851,4298926362
15,14,15,2551963,4298926362
22,2,22,2551967,4298926362
10,10,11,2551832,4298926363
10,10,13,2551786,4298926363
5,5,22,2551962,4298926363
5,5,7,2551958,4298926363
9,7,9,2551969,4298926363
30,7,30,2551970,4298926363
31,9,31,2551971,4298926363
8,8,9,2551826,4298926364
9,9,8,2551825,4298926364
17,31,17,2551972,4298926364
9,9,13,2551881,4298926365
31,31,5,1913,4298926365
6,6,15,2551863,4298926366
15,14,15,2551977,4298926367
15,15,10,2551786,4298926367
25,2,25,2551981,4298926368
14,14,31,1913,4298926368
5,5,25,2551865,4298926368
13,13,26,16,4298926369
16,5,16,2551987,4298926369
25,6,25,2551984,4298926369
25,3,25,2551989,4298926370
25,25,15,2551786,4298926370
2,2,15,2551864,4298926371
14,1,14,2551990,4298926371
4,4,12,2551862,4298926374
4,4,25,2551786,4298926374
9,3,9,2551995,4298926374
12,7,12,2551996,4298926374
15,15,5,2551865,4298926374
16,7,16,2551998,4298926374
17,25,17,2551999,4298926374
21,25,21,2551997,4298926374
25,7,25,2551994,4298926374
4,5,4,2552001,4298926375
3,3,7,2551993,4298926375
7,7,9,2551881,4298926375
14,15,14,2552002,4298926375
2,2,7,2551881,4298926376
5,5,15,2551865,4298926376
12,6,12,2552004,4298926376
9,5,9,2552005,4298926377
9,9,4,2551786,4298926377
1,0,1,2552007,4298926377
9,7,9,2552009,4298926377
7,7,2,2551881,4298926378
1,1,2,2551864,4298926379
12,12,7,2551881,4298926379
2,2,3,2551822,4298926380
3,14,3,2552015,4298926380
3,3,2,2551822,4298926380
12,12,1,2551864,4298926380
14,1,14,2552012,4298926380
16,1,16,2552014,4298926380
21,21,4,2551862,4298926380
15,15,14,2551799,4298926381
3,2,3,2552018,4298926381
14,14,4,2551887,4298926381
14,14,15,2551799,4298926381
21,30,21,2552022,4298926381
24,12,24,2552019,4298926381
0,0,6,2551863,4298926382
17,7,17,2552023,4298926382
3,3,5,2551865,4298926383
6,6,21,2551862,4298926384
6,6,14,1913,4298926384
14,14,3,2551865,4298926384
21,24,21,2552028,4298926384
0,6,0,2552032,4298926385
21,6,21,2552033,4298926385
21,21,9,2551786,4298926385
11,0,11,2552034,4298926385
24,24,12,2551864,4298926385
1,1,24,2551864,4298926386
1,1,21,2551786,4298926386
10,2,10,2552040,4298926386
11,2,11,2552039,4298926386
16,2,16,2552041,4298926386
0,0,14,2551887,4298926387
2,2,0,2551863,4298926387
5,5,0,2551887,4298926388
12,12,2,2551863,4298926388
13,13,12,2551819,4298926390
15,15,14,2551799,4298926390
3,2,3,2552057,4298926390
5,17,5,2552055,4298926390
7,6,7,2552056,4298926390
12,12,13,2551851,4298926390
13,2,13,2552052,4298926390
14,14,15,2551799,4298926390
16,17,16,2552053,4298926390
15,15,14,2551865,4298926391
0,0,15,2551865,4298926392
27,27,13,16,4298926393
9,5,9,2552063,4298926393
18,2,18,2552068,4298926394
4,4,1,2551864,4298926395
4,4,1,2551786,4298926395
1,4,1,2552073,4298926396
1,1,4,2551786,4298926396
12,12,6,1913,4298926397
12,12,1,2551786,4298926397
25,2,25,2552079,4298926398
5,6,5,2552080,4298926399
6,6,4,2551864,4298926400
1,1,0,2551821,4298926401
0,0,1,2551796,4298926401
1,3,1,2552087,4298926402
9,3,9,2552088,4298926402
9,9,12,2551786,4298926402
15,15,5,2551887,4298926402
25,25,3,2552082,4298926402
15,2,15,2552092,4298926404
15,15,9,2551786,4298926404
9,0,9,2552095,4298926404
14,14,12,2551881,4298926404
19,9,19,2552096,4298926404
2,2,0,2551865,4298926405
8,8,10,2550246,4298926405
8,8,15,2551786,4298926405
3,3,5,2550236,4298926406
4,4,6,2551864,4298926406
26,3,26,2552104,4298926407
26,26,8,2551786,4298926407
2,2,3,2551822,4298926408
3,3,2,2551816,4298926408
10,10,11,2551831,4298926410
11,0,11,2552114,4298926410
12,12,22,2552113,4298926410
24,6,24,2552112,4298926410
7,7,15,2551887,4298926412
15,15,2,2551865,4298926412
15,15,26,2551786,4298926412
5,4,5,2552119,4298926413
15,14,15,2552124,4298926414
9,9,7,2551887,4298926417
12,12,14,2551881,4298926417
11,11,10,2551828,4298926418
11,11,10,2551831,4298926418
10,10,11,2551818,4298926419
10,10,15,2551786,4298926419
0,1,0,2552139,4298926419
4,4,15,2551865,4298926419
6,7,6,2552134,4298926419
12,3,12,2552138,4298926419
2,2,9,2551887,4298926420
16,0,16,2552143,4298926422
16,16,10,2551786,4298926422
4,5,4,2552144,4298926422
17,14,17,2552145,4298926422
30,14,30,2552146,4298926422
28,28,27,16,4298926423
5,5,14,2552141,4298926423
7,7,4,2551865,4298926424
15,15,7,2551865,4298926425
12,4,12,2552153,4298926426
15,15,4,2551864,4298926427
30,6,30,2552159,4298926427
30,30,16,2551786,4298926427
2,2,12,2551881,4298926428
6,6,15,2551865,4298926428
3,3,6,2551865,4298926429
8,8,9,2551825,4298926430
2,3,2,2552169,4298926430
9,1,9,2552165,4298926430
9,9,8,2551827,4298926430
11,1,11,2552168,4298926430
15,14,15,2552164,4298926430
20,4,20,2552170,4298926430
25,11,25,2552166,4298926431
25,25,30,2551786,4298926431
20,25,20,2552172,4298926431
25,25,3,2551865,4298926432
0,0,2,2551881,4298926433
0,0,25,2551786,4298926433
5,5,2,2551887,4298926434
5,5,0,2551786,4298926434
12,5,12,2552180,4298926435
12,12,5,2551786,4298926435
20,5,20,2552179,4298926435
20,1,20,2552185,4298926436
7,7,25,2551865,4298926436
3,3,2,2551822,4298926437
2,2,15,2551864,4298926437
2,2,3,2551822,4298926437
10,10,28,16,4298926438
0,5,0,2552189,4298926439
0,0,12,2551786,4298926439
9,15,9,2552195,4298926440
9,9,0,2551786,4298926440
20,15,20,2552196,4298926440
3,6,3,2552194,4298926440
5,1,5,2552191,4298926440
11,3,11,2552197,4298926441
4,4,2,2551864,4298926441
15,4,15,2552195,4298926441
19,20,19,2552199,4298926441
24,20,24,2552198,4298926441
24,0,24,2552203,4298926442
24,24,9,2551786,4298926442
4,5,4,2552195,4298926442
6,26,6,2552194,4298926442
2,2,0,2551881,4298926443
2,2,24,2551786,4298926443
14,14,5,2551887,4298926443
18,18,10,16,4298926444
18,18,2,2551786,4298926444
24,27,24,2552204,4298926444
4,4,12,1913,4298926445
4,4,18,2551786,4298926445
12,24,12,2552212,4298926445
15,7,15,2552214,4298926445
24,3,24,2552211,4298926445
15,15,14,2551887,4298926445
12,12,13,2551817,4298926446
2,2,26,2552194,4298926447
5,2,5,2552217,4298926448
11,6,11,2552218,4298926449
2,3,2,2552217,4298926449
15,14,15,2552220,4298926449
22,10,22,2552221,4298926449
9,1,9,2552223,4298926450
14,14,4,1913,4298926450
4,2,4,2552225,4298926450
17,4,17,2552231,4298926453
17,17,4,2551786,4298926453
14,14,1,2552223,4298926454
11,11,10,2551830,4298926455
11,11,17,2551786,4298926455
15,14,15,2552235,4298926455
15,15,14,2551799,4298926456
14,14,15,2552196,4298926456
14,14,15,2551799,4298926456
17,1,17,2552234,4298926456
5,5,4,2551860,4298926457
6,7,6,2552237,4298926457
5,4,5,2552240,4298926459
5,5,11,2551786,4298926459
17,13,17,2552242,4298926459
31,31,18,16,4298926460
2,3,2,2552250,4298926462
13,13,14,1913,4298926462
13,13,3,2552239,4298926462
5,4,5,2552252,4298926464
13,13,16,2481904,4298926464
13,13,19,1243,4298926464
10,10,11,2551829,4298926466
4,4,5,2552195,4298926469
15,15,6,2551861,4298926469
6,15,6,2552258,4298926469
15,15,13,1913,4298926470
0,0,2,2552194,4298926471
4,5,4,2552262,4298926471
14,15,14,2552264,4298926472
14,14,5,2551786,4298926472
12,12,13,2551819,4298926474
2,2,15,2551861,4298926474
4,14,4,2552268,4298926474
13,13,4,2552195,4298926474
13,13,12,2551817,4298926474
13,13,12,2551851,4298926475
13,13,14,2551786,4298926475
6,6,7,2551798,4298926476
7,7,3,2552265,4298926476
7,7,0,2552194,4298926476
7,7,6,2551798,4298926476
7,5,7,2552274,4298926478
3,7,3,2552275,4298926478
4,4,13,2552195,4298926479
30,30,31,16,4298926480
30,30,13,2551786,4298926480
0,14,0,2552277,4298926480
5,5,7,2552194,4298926482
0,5,0,2552280,4298926482
0,0,30,2551786,4298926482
9,0,9,2552281,4298926483
9,9,0,2551786,4298926483
17,6,17,2552282,4298926483
9,4,9,2552285,4298926483
15,15,4,2552195,4298926484
25,25,5,2552194,4298926485
3,3,1,2552260,4298926486
15,14,15,2552288,4298926486
7,6,7,2552290,4298926487
3,0,3,2552293,4298926488
0,15,0,2552295,4298926492
3,15,3,2552296,4298926492
9,15,9,2552298,4298926492
6,6,15,1913,4298926492
3,3,15,2552195,4298926493
5,5,3,2552260,4298926494
26,26,30,16,4298926495
7,4,7,2552306,4298926497
12,3,12,2552308,4298926497
4,4,15,2552307,4298926498
7,6,7,2552310,4298926499
7,7,9,2551786,4298926499
9,14,9,2552312,4298926500
2,3,2,2552311,4298926500
25,25,26,16,4298926501
4,2,4,2552315,4298926502
14,14,5,2552260,4298926502
3,3,2,2551822,4298926503
0,1,0,2552317,4298926503
2,2,3,2551816,4298926503
6,14,6,2552319,4298926505
6,6,7,2551786,4298926505
0,1,0,2552321,4298926506
0,0,6,2551786,4298926506
0,0,3,2552195,4298926507
1,1,14,2552260,4298926507
2,0,2,2552323,4298926508
2,2,0,2551786,4298926508
9,4,9,2552326,4298926508
3,3,1,2552260,4298926508
7,7,0,2552195,4298926508
0,0,15,2552324,4298926509
9,0,9,2552333,4298926510
9,9,2,2551786,4298926510
15,15,7,2552195,4298926510
0,0,3,2552260,4298926511
12,12,0,2552260,4298926512
8,8,13,2481904,4298926513
9,3,9,2552340,4298926514
12,4,12,2552341,4298926514
13,4,13,2552342,4298926514
3,3,15,2552195,4298926515
5,5,2,2552284,4298926516
12,15,12,2552348,4298926518
12,12,9,2551786,4298926518
17,4,17,2552349,4298926519
17,17,12,2551786,4298926519
24,4,24,2552352,4298926519
12,0,12,2552351,4298926519
15,15,5,2552284,4298926519
0,0,3,2552195,4298926520
9,9,8,2551825,4298926521
7,7,0,2552195,4298926521
23,23,25,16,4298926524
2,2,15,2552284,4298926524
4,2,4,2552359,4298926525
4,5,4,2552361,4298926526
6,6,2,2552284,4298926529
1,1,6,2552284,4298926530
2,3,2,2552370,4298926532
2,2,17,2551786,4298926532
7,4,7,2552374,4298926536
7,7,2,2551786,4298926536
